Fabryczna,50.060334,19.970741
Filharmonia,50.058764,19.933233
Fiszera,50.085495,19.896883
Forteczna,50.001008,19.906110
Fort Bodzów,50.03155,19.86494
Fort Mogiła,50.066120,20.071120
Fort Swoszowice,49.98877,19.95715
Fort Winnica,50.022134,19.866886
Francesco Nullo,50.060059,19.967136
Fredry,50.021182,19.942696
Gaik,50.109941,19.886906
Gaj Szkoła,49.960828,19.890146
Gaj Zadziele,49.955637,19.889545
Garbarnia,50.038068,20.042495
Garlica Duchowna,50.144318,19.924725
Garlica Duchowna Rozjazd,50.15001,19.92189
Garlica Murowana,50.140495,19.927407
Garliczka Chochół,50.15702,19.91828
Geologów,49.98504,19.97877
Giebułtów,50.141568,19.883366
Giebułtów Morgi,50.152156,19.871349
Giebułtów Plac Zabaw,50.144071,19.880490
Giebułtów Zbiornik,50.148327,19.874498
Glinnik,50.046695,19.882335
Glogera,50.101512,19.928201
Glogera Granica Miasta,50.10259,19.92754
Głęboka,50.130964,20.152122
Głowackiego,50.075953,19.905767
Golkowice,49.973719,19.967350
Gołuchowice,49.945586,19.783887
Gołuchowice Jurczyce,49.943653,19.777793
Gołuchowice Sklep,49.940394,19.771013
Gospodarska,50.108276,19.902505
Goszyce,50.170136,20.123863
Goszyce Remiza,50.179976,20.132446
Gościniec,50.174500,19.943114
Góra Borkowska,50.007090,19.925627
Górka Narodowa,50.092558,19.956364
Górka Pychowicka,50.03394,19.87571
Górna Wieś,50.162549,19.936140
Górnickiego,50.096220,19.941859
Górskie Domy,49.981088,19.768180
Grabie,49.929416,19.743533
Grabie Dom Kultury,50.039501,20.132961
Grabie Kościół,50.039887,20.140085
Grabie Kuźnia,49.929637,19.743018
Grabie Polanka,49.933488,19.752044
Grabie Szczurów,50.038674,20.111932
Grabówki,49.973857,20.000674
Granica Miasta,50.043195,19.807920
Grębałów,50.101257,20.069403
Grębynice I,50.166088,19.872816
Grębynice II,50.166415,19.868358
Grębynice Mogiełki,50.173977,19.863750
Gromadzka,50.044986,19.978337
Grota-Roweckiego,50.031645,19.920616
Grotowa,49.983020,19.757623
Grotowa I,49.982026,19.759855
Grottgera,50.071271,19.928941
Gustawa Morcinka,50.10368,20.07201
Gwarecka,50.065927,20.109658
Habina,50.058571,20.030651
Hala Targowa,50.058764,19.949541
Hallera,50.00344,19.99462
Halszki,50.005480,19.949063
Hektary,50.10972,20.17567
Herberta,50.010110,19.944133
Hofmana,50.057579,19.900016
Igołomska,50.075870,20.149612
Imbramowska,50.088015,19.947566
Instytut Pediatrii,50.010290,19.999966
Instytut Reumatologii,50.057689,19.913749
Isep,50.055265,20.021338
Iwanowice,50.221071,19.978723
Jagiełły,50.095008,20.040221
Janasówka,49.999657,19.818005
Jana Kazimierza,50.09491,20.04705
Janówka,50.079396,20.159997
Januszowice,50.149516,19.892849
Jarzębiny,50.092592,20.061678
Jasieńskiego,50.017198,20.057301
Jasnogórska,50.098284,19.890403
Jaśkowice,49.959724,19.663896
Jaśkowice PKP,49.960828,19.672908
Jerzmanowskiego,50.004999,20.006536
Jeziorzany,49.986607,19.778652
Jeziorzany I,49.993780,19.776420
Jeżowa,50.037848,20.026702
Jeżynowa,50.064632,20.085411
Jordanowska,50.094853,19.915154
Jubilat,50.055182,19.927525
Judyma,50.001477,19.921946
Jugowicka,50.007408,19.931302
Jurczyce Dom Ludowy,49.93848,19.78044
Jurczyce Podole,49.93862,19.79135
Jurczyce Szkoła,49.93864,19.78660
Kabel,50.028696,19.975376
Kaczorówka,50.103487,19.907612
Kamień,50.015088,19.586842
Kamieńskiego,50.029037,19.957619
Kamieńskiego Wiadukt,50.032031,19.948336
Kamień Dół,50.008662,19.583923
Kampus UJ,50.022788,19.899314
Kantorowice,50.104188,20.062071
Kapelanka,50.045510,19.921410
Kapkazy,50.153146,20.101461
Karniowice,50.152651,19.772901
Karniowice I,50.149736,19.778308
Karniów,50.132697,20.170598
Karowa,50.060500,20.108156
Karpińskiego,50.016095,19.963402
Kaszów,50.039060,19.724578
Kaszów II,50.038895,19.719257
Kaszów Łysa Góra,50.037958,19.742345
Kaszów Tyrałówka,50.039501,19.735136
Kasztanowa,50.065018,19.866499
Katowicka,50.090245,19.882807
Kawiory,50.068048,19.913663
Kąkolowa,50.051187,20.127639
Kąpielowa,49.997560,19.920101
Kenara,49.982385,19.960656
Klasztorna,50.068571,20.052194
Klasztor Cystersów,50.064544,20.052174
Kleeberga,50.095951,20.012894
Kleszczów,50.106267,19.749641
Klimeckiego,50.048982,19.967651
Kliny Zacisze,50.001698,19.900918
Kłokoczyn,49.995884,19.636259
Kobierzyn,50.007214,19.891734
Kobierzyńska,50.034815,19.925680
Kobylany,50.148567,19.761250
Kobylany I,50.148058,19.753117
Kobylany Remiza,50.148471,19.757924
Kochanów,50.114634,19.746723
Kochanów I,50.116010,19.758825
Kocmyrzowska,50.085261,20.038418
Kocmyrzów,50.133398,20.113348
Kocmyrzów I,50.129341,20.130600
Kocmyrzów Krzyżówka,50.133770,20.125300
Kokotów I,50.012730,20.084466
Kokotów II,50.013944,20.095882
Koksochemia,50.071925,20.104690
Kolna,50.02459,19.83329
Kombinat,50.079217,20.066356
Komorowskiego,50.053088,19.921045
Komuny Paryskiej,50.007242,19.896240
Konary,49.944247,19.921324
Konary Buk,49.935753,19.936709
Konary I,49.951454,19.932160
Konary Sęk,49.935201,19.923601
Konary Włosań,49.933405,19.915595
Konopnickiej,50.052771,19.929349
Kończyce,50.124100,20.023012
Kopalina,50.065954,19.860105
Kopanka,49.977317,19.763285
Kopanka II,49.980132,19.774550
Kopanka Kapliczka,49.981870,19.779228
Kopanka Szkoła,49.983705,19.790171
Kopce,49.943763,19.868388
Kopiec Kościuszki,50.055075,19.892509
Kopiec Wandy,50.069756,20.066442
Kordylewskiego,50.058405,19.961750
Korona,50.043801,19.947094
Korzkiew I,50.156181,19.883432
Korzkiew II,50.161968,19.880906
Kosmowskiej,50.061271,19.831094
Kosocice,49.994112,19.989280
Kosocicka,50.003712,19.993615
Kostrze,50.018797,19.842510
Kostrze Kapliczka,50.026821,19.844613
Kostrze OSP,50.025718,19.862294
Kostrze Szkoła,50.029081,19.854955
Koszykarska,50.052528,19.989688
Kościelniki,50.105056,20.171070
Kozierów Skrzyżowanie,50.180319,19.944552
Krakówka,49.978659,19.932203
Kraków Airport T1,50.071466,19.799798
Kraków Airport T2,50.074827,19.806171
Kraków Business Park,50.108469,19.821825
Kraków Plaza,50.062717,19.983186
Krasieniec,50.207340,19.938211
Krasieniec Remiza,50.200445,19.939198
Krasieniec Stary,50.195885,19.938715
Krasieniec Zakupny,50.211130,19.948682
Krasnowolskiego,50.085144,20.050164
Kraśnik,49.961946,19.933834
Krowoderskich Zuchów,50.089144,19.927718
Krowodrza Górka,50.088098,19.931538
Krowodrza Urzędy Skarbowe,50.08444,19.93056
Królowej Jadwigi,50.069728,19.859161
Kruszwicka,50.097403,20.019450
Kryspinów,50.043636,19.793672
Kryspinów Sanka,50.041817,19.786205
Kryspinów Zalew,50.048789,19.799165
Krzemieniecka,49.983461,19.995546
Krzesławice,50.082452,20.055971
Krzeszowice,50.131459,19.637117
Krzeszowice Szkoła,50.134499,19.638233
Krzeszowice Witaminka,50.132656,19.644412
Krzęcin,49.957625,19.728269
Krzęcin Cmentarz,49.941057,19.744148
Krzęcin Częsna,49.949404,19.730453
Krzęcin Kapliczka,49.948127,19.729900
Krzęcin Kościół,49.942879,19.740800
Krzęcin Sklep,49.941167,19.749212
Krzęcin Szkoła,49.941057,19.741144
Krzyszkowice Kasztanowa I,49.986522,20.024211
Krzyszkowice Kasztanowa II,49.990725,20.024559
Krzyszkowice Kościół,49.987954,20.032676
Krzyszkowice Modrzewiowa,49.994708,20.019868
Krzyszkowice Os. Szymanowskiego,49.988821,20.038367
Krzyszkowice Różana,49.998501,20.024243
Krzysztoforzyce,50.115129,20.138196
Krzysztoforzyce Góra,50.113615,20.126824
Krzysztoforzyce przy Dworze,50.114854,20.130429
Krzysztoforzyce Sklep,50.116147,20.133583
Książniczki Boisko,50.129547,20.015974
Książniczki Centrum,50.135269,20.009622
Książniczki Las,50.134279,20.003442
Księcia Józefa,50.048059,19.896690
Ks.Łaczka,50.010152,20.027282
Ks. Targosza,50.04277,20.05246
Kujawy,50.047990,20.100259
Kuklińskiego,50.045427,19.973097
Kulerzów,49.944978,19.851222
Kulerzów Wąwóz,49.944730,19.862079
Kupały,50.095339,20.017304
Kurdwanów,50.013944,19.949905
Kurdwanów Szkoła,50.005644,19.966530
Kuźnicy Kołłątajowskiej,50.097458,19.962201
Lajkonika,50.062015,19.889073
Landaua,49.988193,19.963381
Lasek Mogilski,50.05430,20.04942
Laskowiec,50.172631,19.961814
Las Borkowski,50.008152,19.906668
Lekarska,50.086528,19.938297
Lema,50.063932,19.987578
Leroy Merlin,50.106350,19.849634
Lesisko,50.053722,20.045542
Leszka Białego,50.09584,20.05080
Leśmiana,50.068213,19.832725
Libertów,49.973526,19.906969
Libertów Dolny,49.97923,19.91060
Libertów Działy,49.972146,19.891755
Libertów Krzyżówka,49.971635,19.883172
Libertów Szkoła,49.972518,19.898504
Limanowskiego,50.045206,19.955420
Lindego,50.08075,19.87198
Lipińskiego,50.030653,19.924778
Lipka,50.133508,19.778995
Lipowskiego,50.015336,20.037109
Lipska,50.040356,19.992971
Liszki I,50.038840,19.775390
Liszki II,50.036414,19.770498
Liszki Krzyżówka,50.033988,19.755992
Liszki UG,50.037848,19.764747
Lubicz,50.065128,19.951601
Lublańska,50.085087,19.962544
Lubocza Bugaj,50.092200,20.074896
Lubocza PKP,50.088455,20.073652
